#!,Workbook:,Custom,Custom
#!,Deze gegevens afspelen: open het oorspronkelijke Excel-werkmapbestand, klik op de knop *Gegevensbestand importeren* op het lint *Data Streamer* en navigeer naar dit bestand.,
#!,Ga naar http://aka.ms/hackingstem/ voor meer informatie,,
19372,36420,,
19378,36390,,
19363,36415,,
19367,36417,,
19381,36383,,
19369,36408,,
19375,36422,,
19371,36392,,
19372,36418,,
19363,36408,,
19363,36387,,
19358,36405,,
19359,36402,,
19346,36382,,
19347,36389,,
19347,36390,,
19349,36430,,
19372,36411,,
19373,36415,,
19351,36433,,
19361,36414,,
19361,36407,,
19345,36393,,
19358,36404,,
19347,36398,,
19366,36369,,
19359,36398,,
19357,36402,,
19384,36427,,
19382,36436,,
19378,36427,,
19392,36416,,
19381,36425,,
19365,36424,,
19342,36377,,
19342,36394,,
19354,36395,,
19317,36377,,
19334,36387,,
19344,36388,,
19379,36408,,
19377,36426,,
19374,36422,,
19377,36389,,
19364,36409,,
19357,36402,,
19359,36394,,
19360,36409,,
19365,36408,,
19337,36413,,
19362,36407,,
19359,36403,,
19383,36434,,
19380,36430,,
19381,36431,,
19353,36419,,
19369,36408,,
19362,36409,,
19344,36376,,
19344,36383,,
19339,36384,,
19344,36353,,
19322,36361,,
19326,36369,,
19344,36402,,
19346,36394,,
19348,36398,,
19380,36447,,
19389,36438,,
19394,36439,,
19386,36448,,
19382,36439,,
19387,36429,,
19371,36382,,
19347,36395,,
19347,36400,,
19357,36366,,
19347,36395,,
19352,36391,,
19379,36399,,
19364,36416,,
19366,36410,,
19345,36412,,
19354,36394,,
19354,36396,,
19381,36447,,
19391,36441,,
19387,36435,,
19328,36397,,
19333,36368,,
19329,36366,,
19365,36407,,
19354,36401,,
19359,36402,,
19404,36413,,
19396,36446,,
19395,36445,,
19346,36409,,
19351,36407,,
19356,36406,,
19386,36459,,
19399,36453,,
19402,36455,,
19376,36413,,
19358,36404,,
19352,36400,,
19359,36428,,
19359,36408,,
19365,36403,,
19369,36415,,
19357,36406,,
19358,36401,,
19297,36364,,
19313,36338,,
19310,36348,,
19310,36356,,
19328,36367,,
19333,36379,,
19393,36465,,
19416,36468,,
19422,36469,,
19384,36413,,
19382,36438,,
19373,36419,,
19328,36402,,
19346,36378,,
19338,36371,,
19338,36385,,
19333,36376,,
19330,36371,,
19286,36351,,
19305,36342,,
19316,36349,,
19355,36392,,
19370,36411,,
19378,36419,,
19359,36449,,
19393,36441,,
19405,36458,,
19400,36429,,
19392,36448,,
19400,36450,,
19392,36406,,
19379,36413,,
19366,36412,,
19368,36372,,
19359,36400,,
19348,36397,,
19341,36422,,
19365,36407,,
19365,36408,,
19328,36376,,
19341,36387,,
19339,36375,,
19360,36364,,
19356,36391,,
19354,36398,,
19353,36428,,
19376,36433,,
19380,36426,,
19362,36438,,
19367,36418,,
19365,36409,,
19349,36411,,
19348,36400,,
19366,36408,,
